Stop_ID,Stop_name,Stop_lat,Stop_long,2018-19,2019-20,2020-21
18489,45-Maribyrnong Community Centre,-37.768744,144.88955,9400,39900,8500
15559,45-Randall/Raleigh,-37.768631,144.888937,65150,17600,6000
21071,46-Acheron/Camberwell,-37.83981,145.0663,7900,8000,9350
18734,46-Balwyn Cinema,-37.81224,145.075931,122500,25950,19050
19408,46-Balwyn Cinema,-37.812114,145.075788,21050,79500,3950
18610,46-Chatham/Chapel,-37.849082,144.99371,26350,14700,8700
19105,46-Chatham/Chapel,-37.848951,144.993918,54750,47800,23300
21070,46-Christowel/Camberwell,-37.8394,145.06608,7200,2050,#N/A
16749,46-Fraser/High,-37.857387,145.035613,8050,#N/A,6800
16765,46-Fraser/High,-37.857554,145.035798,36550,1950,25000
18640,46-Kooyong/Balaclava,-37.871891,145.017962,15850,7250,14700
21060,46-Kooyong/Balaclava,-37.871732,145.017653,24950,20450,10050
19662,46-Lincoln/Mt Alexander,-37.744772,144.910346,15600,9900,12400
18949,46-Meredith/Malvern,-37.85278,145.03923,3250,18350,750
950,46-Nicholls/Wattletree,-37.862829,145.031391,4200,14850,2500
18374,46-Orrong/Glenhuntly,-37.88505,145.00621,25400,21350,29250
18983,46-Orrong/Glenhuntly,-37.88486,145.0057,44100,56950,20400
17917,46-Rosamond/Raleigh,-37.768884,144.886727,69100,45700,13900
18490,46-Rosamond/Raleigh,-37.769001,144.887156,12950,1600,13300
19060,46-Shaftesbury/Malvern,-37.85286,145.03882,26750,25600,9750
9156,46-Soudan/Wattletree,-37.862657,145.030955,7450,30850,7100
19436,46-Spencer/Riversdale,-37.832809,145.070018,16700,26600,6300
19764,46-Spencer/Riversdale,-37.83294,145.069867,10000,2150,2750
18571,46-Wattle/Doncaster,-37.793002,145.067398,16800,15550,5550
18735,47-Balwyn/Whitehorse,-37.812917,145.081526,52150,15450,23150
19409,47-Balwyn/Whitehorse,-37.81277,145.081191,30100,36500,12050
8345,47-Cabrini Hospital,-37.862973,145.033435,50050,50800,14700
